Index,Block_0,Block_0,Block_1,Block_1,Block_2,Block_2,Block_3,Block_3,Block_4,Block_4,Block_5,Block_5,Block_6,Block_6,Block_7,Block_7,Block_8,Block_8,Block_9,Block_9,Block_10,Block_10,Block_11,Block_11,Block_12,Block_12,Block_13,Block_13,Block_14,Block_14,Block_15,Block_15,Block_16,Block_16,Block_17,Block_17,Block_18,Block_18,Block_19,Block_19,Block_20,Block_20,Block_21,Block_21,Block_22,Block_22,Block_23,Block_23,Block_24,Block_24,Block_25,Block_25,Block_26,Block_26,Block_27,Block_27,Block_28,Block_28,Block_29,Block_29,Block_30,Block_30,Block_31,Block_31
0
84,4,7,0,6,2,4,0,7,3,5,3,6,0,5,0,4,0,2,3,6,0,3,0,6,2,6,2,3,2,7,4,5,3,4,1,3,0,5,0,4,0,4,1,4,0,7,2,4,0,5,4,7,1,3,2,7,4,5,2,7,0,1,0,5,6,7,0,6,4,6,1,3,2,7,1,5,1,2,5,6
85,4,7,0,1,4,7,0,7,3,5,3,6,0,5,4,6,0,2,3,6,0,3,2,6,1,6,2,3,2,6,3,5,3,6,1,3,2,5,0,4,0,4,1,4,0,4,2,4,0,5,4,5,1,3,2,7,4,5,2,7,0,1,3,5,6,7,0,6,4,6,0,3,2,7,1,5,1,2,5,6
86,4,7,0,1,2,7,0,5,0,3,5,6,0,5,4,6,0,2,1,3,0,3,4,5,1,6,3,7,2,6,3,5,4,7,0,1,0,5,3,7,4,7,1,4,4,7,2,4,0,5,4,5,1,4,2,7,4,5,2,7,0,1,1,3,6,7,0,7,2,4,1,3,2,7,5,6,1,5,5,6
87,2,4,1,4,5,7,0,1,0,3,5,6,0,5,4,7,0,4,3,5,0,3,2,6,1,6,0,3,2,7,3,5,3,6,0,1,0,5,3,7,0,4,1,4,4,7,2,4,0,5,4,5,1,4,2,7,4,5,2,7,0,3,0,5,6,7,0,6,1,4,1,3,2,7,1,5,1,5,3,6
88,2,4,1,4,5,7,0,1,3,5,5,6,0,5,0,4,2,4,3,5,0,3,2,4,4,6,0,3,2,5,3,5,3,7,0,1,0,5,3,6,4,7,1,4,0,4,2,4,0,5,4,5,1,4,2,7,4,5,2,7,0,3,0,3,6,7,0,7,2,5,1,3,2,7,5,6,1,5,5,6
89,2,4,1,4,3,7,0,1,3,5,5,6,2,5,0,4,2,4,3,5,0,3,4,6,2,6,2,3,2,5,3,5,3,6,3,6,2,5,1,3,4,7,1,4,0,4,2,4,0,5,4,7,1,4,2,7,4,5,2,7,0,3,0,3,0,7,6,7,4,5,1,3,4,7,5,6,1,5,5,6
90,2,4,1,4,3,7,0,1,0,3,5,6,2,5,0,4,2,4,3,5,0,3,4,6,2,4,2,3,5,7,3,5,3,7,0,1,4,5,6,7,4,7,1,4,0,7,2,4,0,5,4,7,1,4,2,7,4,5,2,7,0,3,0,1,0,7,6,7,4,5,1,3,4,7,5,6,1,5,5,6
91,2,4,1,4,5,7,0,1,3,6,5,6,0,5,0,4,0,2,1,3,0,3,5,7,0,1,2,3,1,5,3,5,3,7,3,6,5,7,1,3,4,7,1,5,4,5,2,4,0,5,4,5,1,3,2,7,4,5,2,7,0,3,3,4,6,7,6,7,1,4,0,1,6,7,5,6,1,5,5,6
92,4,7,0,1,6,7,1,7,0,6,3,4,3,5,0,4,0,2,1,3,0,3,4,5,1,2,2,3,3,6,1,5,3,7,0,6,4,5,1,4,4,7,1,4,0,7,2,4,0,5,4,5,1,4,6,7,5,6,2,7,0,1,3,5,6,7,6,7,4,6,1,3,2,7,5,6,1,5,3,6
93,4,7,0,1,6,7,1,5,0,3,3,7,5,6,0,4,0,2,1,3,0,3,4,5,1,2,0,2,1,3,1,5,3,7,1,6,5,7,1,4,4,7,1,4,0,7,2,4,0,5,4,5,0,4,6,7,5,6,2,7,0,4,4,5,3,7,6,7,4,6,0,3,0,7,5,6,1,5,5,6
94,4,7,0,1,2,7,0,2,0,3,5,7,1,2,0,4,0,4,3,5,2,3,4,6,0,2,0,2,1,6,2,5,3,6,1,2,0,5,1,7,0,4,1,4,0,4,2,4,0,5,4,5,1,4,6,7,5,6,2,7,0,4,0,5,1,3,0,2,4,5,3,5,2,7,1,5,1,5,5,6
95,4,7,1,4,4,7,0,1,3,4,3,5,0,2,0,4,2,4,1,5,0,3,4,5,1,2,2,3,1,6,1,5,3,7,0,1,2,4,3,7,4,7,1,5,0,4,2,4,0,5,4,5,1,4,2,6,5,6,0,7,0,6,3,5,5,7,0,2,1,4,3,5,0,7,1,4,1,4,5,6
96,2,4,1,4,5,7,0,1,0,3,3,6,0,4,4,7,4,5,3,7,0,3,4,5,1,6,2,3,3,6,1,5,3,6,1,3,2,5,1,3,4,7,1,5,4,5,2,4,0,5,4,5,1,4,2,7,1,5,0,7,0,6,0,1,0,1,0,3,1,4,3,6,2,7,5,6,1,5,5,6
97,2,4,1,4,5,7,0,1,0,3,3,6,0,4,4,7,2,4,5,7,0,3,4,5,1,6,2,3,1,6,1,5,6,7,0,1,4,5,1,3,4,7,1,5,4,5,2,4,0,5,4,5,1,4,2,6,0,5,0,5,0,6,0,3,0,7,0,4,2,4,3,4,1,7,4,6,1,5,5,6
98,2,4,1,4,5,7,0,1,0,3,1,3,0,4,4,7,4,5,5,7,0,3,4,5,1,6,2,3,1,6,4,5,6,7,0,1,4,5,1,3,4,7,4,5,4,5,2,4,0,5,4,5,1,4,2,6,0,5,0,7,0,3,0,1,0,7,0,6,2,4,3,4,6,7,5,6,1,5,5,6
99,2,4,1,4,5,7,0,1,0,3,1,3,4,6,0,4,2,4,3,7,0,3,4,5,1,6,0,3,1,6,1,5,3,7,0,1,4,5,1,4,4,7,4,5,4,5,2,4,0,5,4,5,1,4,2,6,0,5,0,7,0,3,0,1,5,7,0,6,2,4,3,4,1,6,5,6,1,5,5,6
100,2,4,1,4,5,7,0,1,0,3,3,7,5,6,0,4,2,4,3,7,0,3,4,5,1,2,2,3,1,6,1,5,3,4,0,3,4,5,1,4,4,7,1,4,4,5,2,4,0,5,4,5,1,4,2,7,0,5,0,7,0,3,0,1,4,7,0,6,4,5,3,4,0,7,5,6,1,5,5,6
101,2,4,1,4,2,5,0,1,0,3,3,7,5,6,0,7,2,4,3,7,0,3,4,5,1,2,2,6,1,6,1,5,3,7,0,3,4,5,3,4,4,7,1,4,4,7,2,4,0,5,4,5,3,4,2,7,5,6,2,7,0,6,3,5,0,4,6,7,4,6,3,4,0,7,5,6,1,5,5,6
102,2,4,1,4,2,5,0,1,0,3,3,7,5,6,0,7,2,4,2,7,0,3,4,5,1,4,1,2,1,3,1,5,3,7,0,3,4,5,3,4,4,7,1,4,4,7,2,4,0,5,4,5,3,4,2,7,0,5,5,7,0,6,0,3,0,7,6,7,4,5,3,4,0,7,4,6,1,5,5,6
103,2,4,1,4,2,5,0,1,0,3,3,7,5,6,0,7,2,4,2,7,0,3,4,5,1,4,1,2,1,3,1,2,3,6,0,3,4,5,1,3,4,7,1,4,0,7,2,4,0,5,4,5,3,4,5,7,0,5,5,7,0,3,0,5,6,7,0,6,1,4,3,4,0,7,1,6,1,5,5,6
104,2,4,1,4,2,5,0,1,0,3,3,7,0,6,4,7,0,4,2,7,0,3,4,5,1,4,2,3,3,6,1,4,6,7,0,3,0,4,1,3,4,7,1,5,4,7,1,2,0,5,5,7,1,4,2,5,0,5,0,7,0,6,0,3,3,7,0,4,2,4,3,4,1,7,5,6,1,5,5,6
105,2,4,1,4,2,5,0,1,0,3,3,7,0,6,3,7,2,4,2,7,0,3,4,5,1,2,2,3,3,5,1,2,6,7,1,2,0,4,1,3,4,7,1,4,4,7,2,4,0,5,5,7,0,4,2,5,4,5,0,7,0,6,0,1,0,3,2,3,4,6,3,5,0,7,4,6,4,5,5,6
106,2,4,1,4,5,7,0,1,0,3,3,7,0,6,4,7,0,4,2,7,0,3,4,5,1,7,2,7,1,3,1,5,3,7,0,2,0,4,1,4,4,7,1,4,4,7,2,4,0,5,4,7,0,4,2,6,4,5,0,7,4,6,0,1,0,3,2,6,4,6,3,4,6,7,4,6,4,5,5,6
107,2,4,1,4,2,5,0,1,0,3,3,7,4,6,3,7,0,4,2,7,0,3,4,5,1,7,2,7,1,3,1,5,3,7,0,2,0,4,1,3,4,7,1,4,4,7,2,4,0,5,4,7,0,4,2,6,1,5,0,7,4,6,0,1,1,3,2,3,4,6,2,3,0,7,3,6,1,5,5,6
108,2,4,1,4,2,5,0,1,0,3,3,4,0,7,3,7,0,2,2,7,0,3,5,7,1,2,2,3,1,6,1,5,3,7,0,2,0,4,1,4,4,7,1,4,4,7,2,4,0,5,4,5,1,4,2,7,5,6,0,7,0,6,0,3,3,7,0,7,4,5,1,3,2,7,5,6,1,5,5,6
109,2,4,1,4,2,5,0,1,0,3,3,4,0,7,3,7,0,2,2,7,0,3,5,7,1,2,2,3,1,6,1,2,3,6,0,3,4,5,1,4,4,7,1,4,0,4,2,4,0,5,4,5,1,4,5,7,5,6,5,7,0,3,0,3,3,7,0,2,4,5,2,3,2,7,4,5,1,5,5,6
110,2,4,1,4,2,5,0,1,0,3,3,4,0,7,3,7,2,5,2,7,0,3,5,7,5,7,1,2,3,7,2,3,3,4,0,2,0,4,1,4,4,7,1,4,0,4,2,4,0,5,4,5,3,4,5,7,5,6,0,7,0,6,0,3,3,7,0,2,1,4,3,5,0,7,5,6,1,5,0,6
111,2,4,1,4,3,5,0,1,0,3,3,4,4,7,3,7,0,2,2,7,0,3,5,7,1,7,1,2,6,7,2,3,4,6,0,2,0,4,1,4,4,7,1,4,0,4,2,4,0,5,4,5,1,4,6,7,5,6,0,7,0,6,0,3,3,7,0,2,4,5,3,5,0,7,4,6,4,5,5,6
112,2,4,1,4,2,5,0,1,0,3,3,4,3,7,6,7,3,5,3,6,0,3,5,7,5,7,1,2,6,7,5,7,4,7,0,3,0,2,1,7,4,7,1,3,4,7,2,4,0,5,0,4,1,4,2,6,5,6,0,2,0,6,0,1,3,5,2,7,5,6,3,4,1,7,5,6,1,5,5,6
113,2,4,1,4,0,5,0,1,0,3,3,4,3,7,6,7,3,5,0,6,3,7,5,7,5,7,1,2,1,6,3,7,3,4,0,3,0,4,1,7,4,7,1,3,0,4,1,4,0,5,0,4,1,4,0,6,5,6,0,2,0,4,0,6,1,3,3,6,5,6,3,4,4,7,5,6,1,5,5,6
114,2,4,1,4,0,5,0,1,0,3,3,4,3,7,6,7,3,5,0,6,3,7,3,7,3,7,1,2,0,1,1,3,0,4,2,4,0,4,1,5,4,7,1,3,0,4,1,7,4,5,0,4,1,4,0,6,1,6,3,5,0,7,2,7,1,3,3,6,5,7,6,7,3,7,3,4,3,6,2,5
115,2,4,1,4,0,5,0,1,0,3,3,4,3,7,6,7,3,5,0,6,3,7,3,7,3,7,1,2,0,1,1,3,0,4,2,4,0,4,1,5,4,7,1,3,0,6,1,7,4,5,0,4,1,5,0,6,1,6,3,5,0,7,2,7,1,3,3,6,5,7,6,7,3,7,3,4,3,6,2,5
116,2,4,1,4,0,5,0,1,0,3,3,4,3,7,6,7,3,5,0,6,3,7,3,7,3,7,1,2,0,1,1,3,0,4,2,4,0,4,1,5,4,7,1,3,0,4,2,7,4,5,0,4,1,4,0,6,1,6,3,5,0,7,2,7,1,3,3,6,5,7,6,7,3,7,3,4,3,6,5,6
117,2,4,1,4,3,5,0,1,0,3,3,4,3,7,6,7,3,5,0,6,3,7,3,7,3,7,1,2,0,1,3,4,0,4,2,4,4,7,1,5,4,7,1,3,0,4,2,7,0,4,0,4,1,4,0,6,1,6,3,4,1,7,6,7,1,3,3,6,5,7,6,7,3,7,3,5,3,6,5,6
118,2,4,1,4,2,5,0,1,0,3,3,4,3,7,6,7,3,5,0,6,3,7,3,7,3,7,1,2,0,1,1,3,0,4,2,4,3,4,1,5,4,7,1,3,0,6,1,2,4,5,0,4,2,5,0,4,1,6,5,6,0,1,2,7,3,5,3,6,5,7,4,7,3,7,3,7,3,6,2,5
119,2,4,1,4,2,5,0,1,0,3,3,4,2,3,6,7,3,5,0,6,3,7,3,7,3,7,1,5,0,1,1,3,0,4,2,4,3,4,1,5,4,7,1,3,0,6,1,2,4,5,0,4,2,5,0,4,1,6,5,6,0,1,2,7,3,5,3,6,5,7,4,7,1,3,3,7,3,6,4,5
120,4,7,0,5,4,5,0,7,1,4,0,1,5,6,4,7,0,2,1,5,6,7,0,4,0,1,2,5,4,6,2,3,2,7,0,7,0,4,1,3,4,7,3,5,4,7,2,7,0,5,5,7,1,4,2,7,5,6,3,4,0,1,3,6,1,7,2,7,2,5,3,5,3,6,3,4,4,5,5,6
121,2,4,3,6,2,4,0,1,0,5,1,6,0,5,0,4,0,2,3,4,0,3,1,4,4,6,2,3,2,6,1,2,6,7,0,1,0,4,1,3,4,7,1,4,4,7,2,4,0,5,4,7,1,4,6,7,5,6,4,7,0,2,0,3,3,7,4,7,3,4,1,3,0,7,4,6,1,5,5,6
122,2,4,3,6,2,4,0,1,0,3,6,7,5,6,4,6,2,4,5,7,2,3,1,4,2,4,2,3,5,6,1,2,3,6,0,2,4,5,1,3,4,7,1,4,4,7,2,4,0,5,4,5,1,4,5,7,3,5,2,7,0,7,3,6,3,7,0,7,3,4,1,3,4,7,4,6,1,5,5,6
123,2,4,3,6,2,4,0,1,0,3,6,7,5,6,4,6,0,2,5,7,2,3,1,7,0,4,2,3,5,6,1,2,3,6,0,2,4,5,1,3,4,7,1,5,4,7,2,4,0,5,4,7,1,4,0,7,0,5,2,7,0,7,3,6,1,7,6,7,4,7,1,3,4,7,4,6,5,6,5,6
124,2,4,3,6,2,4,0,3,0,3,6,7,5,6,4,6,0,2,5,7,0,3,1,7,0,4,1,3,2,6,1,2,3,6,0,2,0,4,1,3,4,7,1,5,4,7,2,4,0,5,4,7,0,4,6,7,5,6,0,7,0,6,0,3,3,7,2,7,4,7,3,5,0,7,4,6,4,5,5,6
125,2,4,3,6,2,4,0,1,0,3,6,7,5,6,4,6,2,4,5,7,2,3,1,4,2,4,1,3,3,6,1,2,3,6,0,2,0,4,1,4,4,7,1,5,4,7,2,4,0,5,4,7,0,4,6,7,5,6,2,7,0,6,0,3,3,7,2,7,4,5,3,5,0,7,4,6,1,5,5,6
126,2,4,0,3,2,4,0,7,0,3,6,7,5,6,4,6,2,4,5,7,2,3,1,4,2,4,1,3,3,6,1,2,3,6,0,2,0,4,1,4,4,7,1,5,4,7,2,4,0,5,4,7,0,4,6,7,5,6,2,7,0,6,0,3,3,7,0,7,4,5,3,5,0,7,4,6,4,5,5,6
127,2,4,0,3,2,4,0,7,0,3,6,7,5,6,4,6,2,4,5,7,2,3,1,4,4,6,1,3,3,6,1,2,3,6,0,1,0,4,1,3,4,7,1,5,4,7,2,4,0,5,4,7,1,4,5,7,5,6,5,7,0,7,0,3,3,7,0,7,4,5,3,5,0,2,4,5,1,5,5,6
128,2,4,0,3,2,4,0,7,0,5,0,6,0,5,4,6,0,2,4,5,0,3,0,4,2,4,1,2,3,6,1,2,3,6,0,1,2,4,1,3,4,7,1,5,4,7,2,4,0,5,4,7,2,4,2,6,5,6,2,7,0,6,0,3,3,7,0,7,4,5,3,5,0,7,2,4,1,5,5,6
129,2,4,0,3,4,7,0,1,3,5,3,6,0,5,4,6,2,4,4,7,0,3,1,4,2,4,2,3,3,6,1,2,3,6,0,1,2,4,1,3,4,7,1,5,4,7,2,4,0,5,4,7,3,4,2,5,0,5,5,7,0,3,0,6,3,7,0,7,3,4,3,5,0,7,4,6,4,5,5,6
130,2,4,0,3,4,7,0,3,0,5,1,6,0,5,4,6,2,4,4,7,0,3,4,5,1,2,2,3,3,6,1,2,3,6,0,1,2,4,1,3,4,7,1,5,4,7,2,4,0,5,4,7,0,4,5,6,0,5,0,7,0,6,0,3,3,7,0,7,4,5,3,5,4,7,4,6,1,5,5,6
